member,chamber,filing_type,state_district,year,filing_date,doc_id,source_file
Steven Layne O'Donnell,House,D,AR04,2025,2026-01-08,40004879,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Steven Layne O'Donnell,House,D,AR04,2025,2026-01-08,40004886,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Suzanne K. Krzyzanowski,House,C,VA05,2025,2026-01-08,10072885,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Thien Ho,House,C,CA06,2025,2026-01-08,10073144,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
William M. Taggart IV,House,D,TX38,2025,2026-01-08,40004882,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Bernardo Reyna,House,C,TX10,2025,2026-01-07,10073163,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Hon. Byron Donalds,House,P,FL19,2026,2026-01-07,20033747,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Hon. Craig Goldman,House,A,TX12,2023,2026-01-07,10072536,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2023FD\2023FD.txt
Hon. Craig Goldman,House,A,TX12,2024,2026-01-07,10072616,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2024FD\2024FD.txt
Hon. Craig Goldman,House,A,TX12,2024,2026-01-07,10072617,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2024FD\2024FD.txt
Hon. David Rouzer,House,P,NC07,2026,2026-01-07,20033758,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Hon. David Rouzer,House,P,NC07,2026,2026-01-07,20033759,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Hon. Lisa McClain,House,P,MI09,2026,2026-01-07,20033736,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Hon. Nicole Malliotakis,House,P,NY11,2025,2026-01-07,8221287,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Hon. Tim Moore,House,P,NC14,2026,2026-01-07,20033746,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Jennifer Davis,House,C,IL08,2025,2026-01-07,10072595,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Michelle Lynn Tweed,House,W,CO05,2025,2026-01-07,8032,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Scott Wiener,House,C,CA11,2025,2026-01-07,10071883,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Shaun McInnish,House,W,MS03,2025,2026-01-07,8034,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Stephen W. Elliott,House,W,FL19,2025,2026-01-07,8035,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Teresa Volesky,House,D,AZ09,2025,2026-01-07,40004883,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Eric Jones,House,C,CA04,2025,2026-01-06,10072590,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Frederick Paul Wellman,House,X,MO02,2025,2026-01-06,30025617,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Hon. Rohit Khanna,House,P,CA17,2025,2026-01-06,8221285,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Hon. Zoe Lofgren,House,P,CA18,2026,2026-01-06,20033738,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Jeff Cohen,House,C,IL09,2025,2026-01-06,10072625,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Joe Mitchell,House,C,IA02,2025,2026-01-06,8221291,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
John Atwood,House,D,TX20,2025,2026-01-06,8221288,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Joseph Chaplik,House,X,AZ01,2025,2026-01-06,30025621,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Katrina Violetta Deville,House,X,WI08,2025,2026-01-06,30025616,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Matthew Smith,House,X,TX19,2025,2026-01-06,30025620,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Michael Allen Corbin,House,C,GA07,2025,2026-01-06,10073155,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Mr. Brendan W. Gill,House,C,NJ11,2025,2026-01-06,10072917,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Sarah Ulrich,House,D,FL07,2025,2026-01-06,8221295,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Tano Tijerina,House,X,TX28,2025,2026-01-06,30025615,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Zach Beecher,House,C,NJ11,2025,2026-01-06,10073088,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Antonio Reynoso,House,X,NY07,2026,2026-01-05,8221289,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Bowman J. Jay,House,C,KY06,2025,2026-01-05,10073141,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Dr. Richard Hudspeth,House,C,NC11,2025,2026-01-05,10072537,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Hon. April McClain Delaney,House,P,MD06,2026,2026-01-05,20033737,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Hon. Sydney Kamlager-Dove,House,A,CA37,2021,2026-01-05,10073118,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2021FD\2021FD.txt
Hon. Sydney Kamlager-Dove,House,A,CA37,2022,2026-01-05,10051042,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2022FD\2022FD.txt
Hon. Sydney Kamlager-Dove,House,A,CA37,2022,2026-01-05,10072274,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2022FD\2022FD.txt
Hon. Sydney Kamlager-Dove,House,A,CA37,2023,2026-01-05,10072275,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2023FD\2023FD.txt
Hon. Virginia Foxx,House,P,NC05,2026,2026-01-05,20033734,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
